,State,County,PCT_LACCESS_LOWI15
1202,MD,Frederick,2.8479082088334042
2794,UT,Salt Lake,2.8163659050219634
1708,NE,Lancaster,2.778294026542947
2970,WA,King,2.7763421321394604
1791,NJ,Somerset,2.69282321337908
2233,OR,Multnomah,2.675707899395839
2950,VA,Virginia Beach,2.6147008690053513
3088,WI,Milwaukee,2.5226075608243868
325,FL,Broward,2.4764159096338867
2266,PA,Delaware,2.4451516061772085
933,KS,Johnson,2.4217295078734025
246,CO,Arapahoe,2.400725308477683
2565,TX,Collin,2.2531458778135875
242,CA,Yolo,1.9282495009866367
2241,OR,Washington,1.9114684410066074
1207,MD,Montgomery,1.9081125191606305
1205,MD,Howard,1.8592997291946392
2848,VA,Fairfax,1.7777343501057294
362,FL,Miami-Dade,1.7469897148480291
262,CO,Douglas,1.7455362126899026
1789,NJ,Passaic,1.7341870730579678
206,CA,Marin,1.7059318674954853
610,IL,Cook,1.6999444336584697
204,CA,Los Angeles,1.647795398052931
1887,NY,Westchester,1.3791852909982794
226,CA,San Mateo,1.0998050694094614
1793,NJ,Union,1.0421373679030976
186,CA,Alameda,1.0025394992585768
228,CA,Santa Clara,0.9925866980393199
1775,NJ,Bergen,0.9453630798131135
215,CA,Orange,0.8911392135354917
1216,MD,Baltimore,0.886807523651115
319,DC,District of Columbia,0.7858984597722474
2872,VA,Loudoun,0.7596398759050083
1780,NJ,Essex,0.7060985568471432
1857,NY,Nassau,0.46828790033250867
2294,PA,Philadelphia,0.4666318379418134
223,CA,San Francisco,0.3219526811265295
1229,MA,Suffolk,0.21150419089537592
1870,NY,Richmond,0.1720707817837463
1782,NJ,Hudson,0.12057984814823136
2826,VA,Arlington,0.08396520711206733
1868,NY,Queens,0.0320444137602617
1851,NY,Kings,0.005267365997813232
1830,NY,Bronx,0.0009198609572350025
1858,NY,New York,0.0
