,CensusTract,State,County,pop_with_low_access,percent_with_low_access
5541,6037242000,California,Los Angeles,0.0,0.0
5542,6037242100,California,Los Angeles,0.0,0.0
9780,6073020202,California,San Diego,0.0,0.0
9778,6073020108,California,San Diego,0.0,0.0
31762,25017332400,Massachusetts,Middlesex,0.0,0.0
55813,42013101700,Pennsylvania,Blair,0.0,0.0
9773,6073020029,California,San Diego,0.0,0.0
55811,42013101500,Pennsylvania,Blair,0.0,0.0
5543,6037242200,California,Los Angeles,0.0,0.0
9772,6073020028,California,San Diego,0.0,0.0
31770,25017334100,Massachusetts,Middlesex,0.0,0.0
55805,42013100700,Pennsylvania,Blair,0.0,0.0
31779,25017336100,Massachusetts,Middlesex,0.0,0.0
55761,42011012500,Pennsylvania,Berks,0.0,0.0
31809,25017341300,Massachusetts,Middlesex,0.0,0.0
31810,25017341400,Massachusetts,Middlesex,0.0,0.0
55733,42011010904,Pennsylvania,Berks,0.0,0.0
31830,25017350500,Massachusetts,Middlesex,0.0,0.0
5565,6037264102,California,Los Angeles,0.0,0.0
31831,25017350600,Massachusetts,Middlesex,0.0,0.0
5566,6037264103,California,Los Angeles,0.0,0.0
31832,25017350700,Massachusetts,Middlesex,0.0,0.0
5567,6037264301,California,Los Angeles,0.0,0.0
55715,42011002500,Pennsylvania,Berks,0.0,0.0
55714,42011002300,Pennsylvania,Berks,0.0,0.0
55713,42011002200,Pennsylvania,Berks,0.0,0.0
55712,42011002100,Pennsylvania,Berks,0.0,0.0
55711,42011002000,Pennsylvania,Berks,0.0,0.0
55710,42011001900,Pennsylvania,Berks,0.0,0.0
55709,42011001800,Pennsylvania,Berks,0.0,0.0
55708,42011001700,Pennsylvania,Berks,0.0,0.0
55707,42011001600,Pennsylvania,Berks,0.0,0.0
55706,42011001500,Pennsylvania,Berks,0.0,0.0
55705,42011001400,Pennsylvania,Berks,0.0,0.0
31829,25017350400,Massachusetts,Middlesex,0.0,0.0
55734,42011010905,Pennsylvania,Berks,0.0,0.0
31811,25017341500,Massachusetts,Middlesex,0.0,0.0
55735,42011011000,Pennsylvania,Berks,0.0,0.0
31814,25017341800,Massachusetts,Middlesex,0.0,0.0
31815,25017341901,Massachusetts,Middlesex,0.0,0.0
31817,25017342101,Massachusetts,Middlesex,0.0,0.0
31818,25017342102,Massachusetts,Middlesex,0.0,0.0
31819,25017342201,Massachusetts,Middlesex,0.0,0.0
5558,6037262501,California,Los Angeles,0.0,0.0
31820,25017342202,Massachusetts,Middlesex,0.0,0.0
31821,25017342300,Massachusetts,Middlesex,0.0,0.0
31822,25017342400,Massachusetts,Middlesex,0.0,0.0
31823,25017342500,Massachusetts,Middlesex,0.0,0.0
31824,25017342600,Massachusetts,Middlesex,0.0,0.0
5561,6037262704,California,Los Angeles,0.0,0.0
55740,42011011400,Pennsylvania,Berks,0.0,0.0
31825,25017350103,Massachusetts,Middlesex,0.0,0.0
31826,25017350104,Massachusetts,Middlesex,0.0,0.0
31827,25017350200,Massachusetts,Middlesex,0.0,0.0
31828,25017350300,Massachusetts,Middlesex,0.0,0.0
9860,6075012501,California,San Francisco,0.0,0.0
5507,6037238320,California,Los Angeles,0.0,0.0
31116,24510280102,Maryland,Baltimore City,0.0,0.0
5448,6037229300,California,Los Angeles,0.0,0.0
5443,6037228720,California,Los Angeles,0.0,0.0
9907,6075020300,California,San Francisco,0.0,0.0
5444,6037228800,California,Los Angeles,0.0,0.0
5445,6037228900,California,Los Angeles,0.0,0.0
31182,25003900100,Massachusetts,Berkshire,0.0,0.0
5446,6037229100,California,Los Angeles,0.0,0.0
31183,25003900200,Massachusetts,Berkshire,0.0,0.0
5447,6037229200,California,Los Angeles,0.0,0.0
9906,6075020200,California,San Francisco,0.0,0.0
56430,42045401501,Pennsylvania,Delaware,0.0,0.0
5449,6037229410,California,Los Angeles,0.0,0.0
31187,25003900600,Massachusetts,Berkshire,0.0,0.0
56389,42043023800,Pennsylvania,Dauphin,0.0,0.0
56388,42043023700,Pennsylvania,Dauphin,0.0,0.0
5450,6037229420,California,Los Angeles,0.0,0.0
9905,6075020100,California,San Francisco,0.0,0.0
5451,6037231100,California,Los Angeles,0.0,0.0
5452,6037231210,California,Los Angeles,0.0,0.0
5442,6037228710,California,Los Angeles,0.0,0.0
9908,6075020401,California,San Francisco,0.0,0.0
31174,25001014800,Massachusetts,Barnstable,0.0,0.0
56411,42045400301,Pennsylvania,Delaware,0.0,0.0
56428,42045401401,Pennsylvania,Delaware,0.0,0.0
56427,42045401302,Pennsylvania,Delaware,0.0,0.0
56426,42045401301,Pennsylvania,Delaware,0.0,0.0
56425,42045401200,Pennsylvania,Delaware,0.0,0.0
56424,42045401104,Pennsylvania,Delaware,0.0,0.0
56423,42045401103,Pennsylvania,Delaware,0.0,0.0
56422,42045401101,Pennsylvania,Delaware,0.0,0.0
56421,42045401000,Pennsylvania,Delaware,0.0,0.0
56420,42045400900,Pennsylvania,Delaware,0.0,0.0
56419,42045400802,Pennsylvania,Delaware,0.0,0.0
56418,42045400801,Pennsylvania,Delaware,0.0,0.0
56417,42045400700,Pennsylvania,Delaware,0.0,0.0
56416,42045400600,Pennsylvania,Delaware,0.0,0.0
56415,42045400500,Pennsylvania,Delaware,0.0,0.0
56414,42045400402,Pennsylvania,Delaware,0.0,0.0
56413,42045400401,Pennsylvania,Delaware,0.0,0.0
56412,42045400302,Pennsylvania,Delaware,0.0,0.0
5453,6037231220,California,Los Angeles,0.0,0.0
9904,6075018000,California,San Francisco,0.0,0.0
9902,6075017802,California,San Francisco,0.0,0.0
56360,42043021700,Pennsylvania,Dauphin,0.0,0.0
56358,42043021500,Pennsylvania,Dauphin,0.0,0.0
5460,6037231800,California,Los Angeles,0.0,0.0
56356,42043021300,Pennsylvania,Dauphin,0.0,0.0
56355,42043021200,Pennsylvania,Dauphin,0.0,0.0
31241,25005613901,Massachusetts,Bristol,0.0,0.0
56353,42043020900,Pennsylvania,Dauphin,0.0,0.0
9890,6075016500,California,San Francisco,0.0,0.0
31251,25005630102,Massachusetts,Bristol,0.0,0.0
5461,6037231900,California,Los Angeles,0.0,0.0
5462,6037232110,California,Los Angeles,0.0,0.0
9889,6075016400,California,San Francisco,0.0,0.0
56347,42043020300,Pennsylvania,Dauphin,0.0,0.0
56346,42043020100,Pennsylvania,Dauphin,0.0,0.0
56345,42041981606,Pennsylvania,Cumberland,0.0,0.0
56344,42041981001,Pennsylvania,Cumberland,0.0,0.0
31258,25005631400,Massachusetts,Bristol,0.0,0.0
5463,6037232120,California,Los Angeles,0.0,0.0
56359,42043021600,Pennsylvania,Dauphin,0.0,0.0
31240,25005613800,Massachusetts,Bristol,0.0,0.0
5454,6037231300,California,Los Angeles,0.0,0.0
9891,6075016600,California,San Francisco,0.0,0.0
5455,6037231400,California,Los Angeles,0.0,0.0
9901,6075017801,California,San Francisco,0.0,0.0
31201,25003922100,Massachusetts,Berkshire,0.0,0.0
9900,6075017700,California,San Francisco,0.0,0.0
5457,6037231600,California,Los Angeles,0.0,0.0
5458,6037231710,California,Los Angeles,0.0,0.0
9899,6075017601,California,San Francisco,0.0,0.0
9898,6075017102,California,San Francisco,0.0,0.0
9897,6075017101,California,San Francisco,0.0,0.0
5459,6037231720,California,Los Angeles,0.0,0.0
9896,6075017000,California,San Francisco,0.0,0.0
9895,6075016900,California,San Francisco,0.0,0.0
56367,42043022200,Pennsylvania,Dauphin,0.0,0.0
56366,42043022100,Pennsylvania,Dauphin,0.0,0.0
9894,6075016802,California,San Francisco,0.0,0.0
9893,6075016801,California,San Francisco,0.0,0.0
9892,6075016700,California,San Francisco,0.0,0.0
56429,42045401402,Pennsylvania,Delaware,0.0,0.0
56431,42045401502,Pennsylvania,Delaware,0.0,0.0
31260,25005631600,Massachusetts,Bristol,0.0,0.0
9913,6075020800,California,San Francisco,0.0,0.0
5434,6037228210,California,Los Angeles,0.0,0.0
9916,6075021100,California,San Francisco,0.0,0.0
9915,6075021000,California,San Francisco,0.0,0.0
5435,6037228220,California,Los Angeles,0.0,0.0
5436,6037228310,California,Los Angeles,0.0,0.0
9914,6075020900,California,San Francisco,0.0,0.0
5437,6037228320,California,Los Angeles,0.0,0.0
5438,6037228410,California,Los Angeles,0.0,0.0
9912,6075020700,California,San Francisco,0.0,0.0
56432,42045401600,Pennsylvania,Delaware,0.0,0.0
9911,6075020600,California,San Francisco,0.0,0.0
56483,42045406202,Pennsylvania,Delaware,0.0,0.0
56481,42045406100,Pennsylvania,Delaware,0.0,0.0
56480,42045405400,Pennsylvania,Delaware,0.0,0.0
56479,42045405300,Pennsylvania,Delaware,0.0,0.0
56478,42045405200,Pennsylvania,Delaware,0.0,0.0
56477,42045405100,Pennsylvania,Delaware,0.0,0.0
56476,42045405000,Pennsylvania,Delaware,0.0,0.0
31152,25001012601,Massachusetts,Barnstable,0.0,0.0
9917,6075021200,California,San Francisco,0.0,0.0
9918,6075021300,California,San Francisco,0.0,0.0
9919,6075021400,California,San Francisco,0.0,0.0
31117,24510280200,Maryland,Baltimore City,0.0,0.0
9921,6075021600,California,San Francisco,0.0,0.0
31120,24510280401,Maryland,Baltimore City,0.0,0.0
31121,24510280402,Maryland,Baltimore City,0.0,0.0
31123,24510280404,Maryland,Baltimore City,0.0,0.0
31124,24510280500,Maryland,Baltimore City,0.0,0.0
56512,42045407806,Pennsylvania,Delaware,0.0,0.0
56511,42045407805,Pennsylvania,Delaware,0.0,0.0
56510,42045407804,Pennsylvania,Delaware,0.0,0.0
56509,42045407803,Pennsylvania,Delaware,0.0,0.0
56508,42045407802,Pennsylvania,Delaware,0.0,0.0
56507,42045407801,Pennsylvania,Delaware,0.0,0.0
56506,42045407700,Pennsylvania,Delaware,0.0,0.0
56505,42045407600,Pennsylvania,Delaware,0.0,0.0
56504,42045407502,Pennsylvania,Delaware,0.0,0.0
56503,42045407501,Pennsylvania,Delaware,0.0,0.0
9920,6075021500,California,San Francisco,0.0,0.0
56475,42045404900,Pennsylvania,Delaware,0.0,0.0
56474,42045404800,Pennsylvania,Delaware,0.0,0.0
56473,42045404700,Pennsylvania,Delaware,0.0,0.0
56451,42045403200,Pennsylvania,Delaware,0.0,0.0
56449,42045403103,Pennsylvania,Delaware,0.0,0.0
56448,42045403101,Pennsylvania,Delaware,0.0,0.0
56447,42045403002,Pennsylvania,Delaware,0.0,0.0
56446,42045403001,Pennsylvania,Delaware,0.0,0.0
56445,42045402900,Pennsylvania,Delaware,0.0,0.0
56444,42045402800,Pennsylvania,Delaware,0.0,0.0
56443,42045402700,Pennsylvania,Delaware,0.0,0.0
56442,42045402600,Pennsylvania,Delaware,0.0,0.0
56441,42045402500,Pennsylvania,Delaware,0.0,0.0
56440,42045402400,Pennsylvania,Delaware,0.0,0.0
56439,42045402300,Pennsylvania,Delaware,0.0,0.0
56438,42045402200,Pennsylvania,Delaware,0.0,0.0
56437,42045402100,Pennsylvania,Delaware,0.0,0.0
56436,42045402000,Pennsylvania,Delaware,0.0,0.0
56435,42045401900,Pennsylvania,Delaware,0.0,0.0
56434,42045401800,Pennsylvania,Delaware,0.0,0.0
56433,42045401700,Pennsylvania,Delaware,0.0,0.0
56450,42045403104,Pennsylvania,Delaware,0.0,0.0
