,CensusTract,State,County,pop_with_low_access,percent_with_low_access
15320,12057010105,Florida,Hillsborough,2079.38544545034,0.434291028707257
15682,12071001502,Florida,Lee,2071.85953044891,0.360574230847357
17895,12111381503,Florida,St. Lucie,2059.05883164107,0.214597064266917
14620,12011100802,Florida,Broward,2052.6052029943,0.266502882756986
16791,12095015002,Florida,Orange,2040.87874461454,0.415234739494312
15778,12071040303,Florida,Lee,2040.5012718392,0.449449619347843
15963,12081001601,Florida,Manatee,2037.63635382922,0.414659412663659
16892,12095017804,Florida,Orange,2030.54797968672,0.223653263540779
17917,12111382112,Florida,St. Lucie,2027.53815590349,0.283690801161815
16915,12097041001,Florida,Osceola,2023.83769023686,0.2280894500436
17826,12107950600,Florida,Putnam,2021.34078806201,0.328246311799613
15434,12057012103,Florida,Hillsborough,2018.20037507358,0.383396727787536
18037,12115002722,Florida,Sarasota,2016.27096989,0.25333219875487
15314,12057007002,Florida,Hillsborough,2015.53365471959,0.636819480164168
15595,12063210600,Florida,Jackson,2008.8939789769,0.377824709230188
14188,12009060101,Florida,Brevard,2007.76148438529,0.482287168961156
18234,12127090203,Florida,Volusia,2003.95663073787,0.420204787321843
17364,12101031807,Florida,Pasco,1999.22106613857,0.651424263974773
15142,12043000300,Florida,Glades,1992.41918520497,0.531595300214774
16657,12091020800,Florida,Okaloosa,1989.40227160088,0.38901100344170503
14732,12019030103,Florida,Clay,1979.30216044886,0.353762673896132
14684,12015020501,Florida,Charlotte,1972.81395541208,0.416557000720457
16935,12097042900,Florida,Osceola,1970.88261332397,0.120720483481807
16085,12085001801,Florida,Martin,1969.97871490177,0.281104268678906
16931,12097042602,Florida,Osceola,1968.81975147116,0.195668828410968
16663,12091021200,Florida,Okaloosa,1966.26657841725,0.322815067873461
16086,12085001802,Florida,Martin,1963.30474866591,0.594940832929067
14618,12011100700,Florida,Broward,1956.29713116052,0.365389826514853
16416,12086009035,Florida,Miami-Dade,1953.63223965326,0.387779325060195
17722,12105012129,Florida,Polk,1951.22328169457,0.27657310867393
16887,12095017600,Florida,Orange,1938.90373427141,0.396909669246963
17143,12099006100,Florida,Palm Beach,1935.30112231383,0.519404488006933
15769,12071040203,Florida,Lee,1928.95191203204,0.218503841417314
16944,12097043302,Florida,Osceola,1908.51684993234,0.167457826615104
14707,12017450202,Florida,Citrus,1900.10251112419,0.37903501119573
17246,12099007808,Florida,Palm Beach,1899.85686290585,0.336794338398485
17272,12099008001,Florida,Palm Beach,1899.14030554951,0.556443101538095
17271,12099007912,Florida,Palm Beach,1897.20621432148,0.205592350923438
15614,12069030206,Florida,Lake,1893.04031411861,0.470437453806812
15091,12033003608,Florida,Escambia,1890.77082500979,0.260652167770856
16697,12093910403,Florida,Okeechobee,1876.58290054606,0.548227549093211
15513,12057013908,Florida,Hillsborough,1875.81388927286,0.255178055947879
15621,12069030307,Florida,Lake,1875.53656178322,0.422323026746954
14210,12009062500,Florida,Brevard,1867.91011495836,0.448262566584681
14369,12011020409,Florida,Broward,1861.74643452139,0.248796797343498
14941,12031013800,Florida,Duval,1859.93086468055,0.706392276749168
15708,12071010204,Florida,Lee,1858.5820079784,0.194554800374584
15172,12053040502,Florida,Hernando,1856.66304357527,0.583672758118602
15464,12057013004,Florida,Hillsborough,1850.17723830265,0.464401917244641
15560,12061050100,Florida,Indian River,1846.45128523029,0.302003808510025
14938,12031013723,Florida,Duval,1843.65304387873,0.323902502438287
14205,12009062108,Florida,Brevard,1830.55575792833,0.276268602162441
18261,12127091020,Florida,Volusia,1818.9313699486,0.271806839502183
17906,12111382003,Florida,St. Lucie,1811.76466022958,0.184066307043542
17744,12105012504,Florida,Polk,1806.82508854308,0.364573262417895
16858,12095016807,Florida,Orange,1805.5569326207,0.106103128202427
15642,12069030902,Florida,Lake,1805.01088614819,0.147540533443534
15327,12057010209,Florida,Hillsborough,1803.09802071627,0.196801792263292
15365,12057011015,Florida,Hillsborough,1801.81980852456,0.293455994873708
14282,12009069901,Florida,Brevard,1798.74448760964,0.226942277013581
16021,12083001208,Florida,Marion,1795.21900346835,0.464841792715782
17363,12101031806,Florida,Pasco,1793.94887417182,0.367914043103327
15508,12057013804,Florida,Hillsborough,1792.66293491643,0.280981651240821
15505,12057013801,Florida,Hillsborough,1790.20802350074,0.657922831128536
15809,12071050500,Florida,Lee,1788.81858053163,0.303910734035276
15781,12071040308,Florida,Lee,1787.9554674211,0.608355041654
16004,12083000801,Florida,Marion,1785.34489988273,0.12497164355892
17331,12101031206,Florida,Pasco,1784.86835266884,0.545831300510351
16835,12095016704,Florida,Orange,1783.62600800687,0.122780065258269
16696,12093910402,Florida,Okeechobee,1781.97810739204,0.687226420128055
18036,12115002721,Florida,Sarasota,1779.13471073593,0.445563413657884
16845,12095016724,Florida,Orange,1776.17175435647,0.339028775406847
17790,12105014701,Florida,Polk,1776.10440004341,0.369482920749619
16036,12083002203,Florida,Marion,1773.3537985909,0.283736607774545
15776,12071040301,Florida,Lee,1759.39289638834,0.293232149398058
18240,12127090307,Florida,Volusia,1759.2828123127,0.321271514301079
14800,12021010420,Florida,Collier,1756.12086662603,0.292102605892554
18057,12117020807,Florida,Seminole,1754.6108830925,0.280558184057005
15333,12057010303,Florida,Hillsborough,1753.90431027021,0.590739073853221
17431,12103020209,Florida,Pinellas,1746.63355209713,0.370441898642022
17342,12101031409,Florida,Pasco,1745.59884089895,0.406425806961339
